name,habitat,historical_period,size_weight,characterstics,image_url
MR1805/Getty Images,,,Woodlands of southern North America,,https://www.thoughtco.com/thmb/-I0A5PCV4xxjs_r7VAtafpye4Eg=/2000x1500/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-510694574-5c54c22d4cedfd0001efdbb6.jpg
,,,Woodlands of Asia,,https://www.thoughtco.com/thmb/qbjLMNz0DSQJJXGutdX25kcDKqo=/1546x1044/filters:no_upscale():max_bytes(150000):strip_icc()/ScreenShot2019-02-01at2.08.44PM-5c54c3c0c9e77c00016b2d7d.png
,"Zhanghenglong (Chinese for ""Zhang Heng's dragon""); pronounced jong-heng-LONG",,,Late Cretaceous (85 million years ago),https://www.thoughtco.com/thmb/k9HRuV-8C4VvQ_QOOcqjjjoSgAA=/1906x843/filters:no_upscale():max_bytes(150000):strip_icc()/lossless-page1-1920px-Reconstruction_of_Zhanghenglong.tif-5c54d12bc9e77c0001599dfa.png
,"Zhuchengosaurus (Greek for ""Zhucheng lizard""); pronounced ZHOO-cheng-oh-SORE-us",,,Early Cretaceous (110-100 million years ago),https://www.thoughtco.com/thmb/3COUOB9svilQ85czH2CKNrME51k=/1200x812/filters:no_upscale():max_bytes(150000):strip_icc()/1200px-Laika_ac_Dino_Kingdom_2012_7882291466-5c54d24346e0fb000152e7c8.jpg
"Albertonykus (Greek for ""Alberta claw""); pronounced al-BERT-oh-NYE-cuss",Woodlands of North America,Late Cretaceous (70 million years ago),About 2 1/2 feet long and a few pounds,Insects,
"Alvarezsaurus (Greek for ""Alvarez's lizard""); pronounced al-vah-rez-SORE-us",Woodlands of South America,Late Cretaceous (85 million years ago),About 6 feet long and 30-40 pounds,Probably insects,https://www.thoughtco.com/thmb/HiLOWvydJPouKrTerrj1dcnwXVo=/1280x583/filters:no_upscale():max_bytes(150000):strip_icc()/alvarezsaurusWC2-58b9b7113df78c353c2d3c95.jpg
"Anchiornis (Greek for ""almost bird""); pronounced ANN-kee-OR-niss",Woodlands of Asia,Late Jurassic (155 million years ago),About one foot long and a few ounces,Probably insects,https://www.thoughtco.com/thmb/4zf643fIehUsXOeSfUn9YY9uvbA=/800x555/filters:no_upscale():max_bytes(150000):strip_icc()/anchiornisNT-58b9b70b5f9b58af5c9c5112.jpg
,,,,,https://www.thoughtco.com/thmb/ShIlXt_Isws5lvxKr6WMFq-iyc0=/940x732/filters:no_upscale():max_bytes(150000):strip_icc()/anzu-58b9b1a33df78c353c2b92d3.jpg
Aorun (after a Chinese deity); pronounced AY-oh-run,Woodlands of Asia,Late Jurassic (160 million years ago),About two feet long and a few pounds,Small lizards and mammals,https://www.thoughtco.com/thmb/qVzr3jOVTfYkxOJYrpocN5DadB0=/800x553/filters:no_upscale():max_bytes(150000):strip_icc()/aorunWC-58b9b7005f9b58af5c9c4c39.png
"Aristosuchus (Greek for ""noble crocodile""); pronounced AH-riss-toe-SOO-kuss",Woodlands of western Europe,Early Cretaceous (125 million years ago),About six feet long and 50 pounds,Meat,https://www.thoughtco.com/thmb/k12BfOr1j00OAJGxwQb89s93ok8=/640x480/filters:no_upscale():max_bytes(150000):strip_icc()/aristosuchusNT-58b9b6f55f9b58af5c9c4669.jpg
